Freq_Hz_,S11_DB_,S11_DEG_,S12_DB_,S12_DEG_,S21_DB_,S21_DEG_,S22_DB_,S22_DEG_
300000000,-5.3495164,-78.633675,-73.281929,92.40136,-66.113785,-169.71759,-0.004430572,-0.26239181
301000000,-5.373805,-79.00692,-71.885292,-71.986656,-71.928139,48.972595,-0.0096732201,-0.26656061
302000000,-5.402586,-79.493134,-74.043198,106.7019,-66.282555,-81.605309,0.006256789,-0.14538184
303000000,-5.4449801,-79.994713,-77.180679,-108.60778,-69.3069,117.25761,-0.0095071839,-0.25153986
304000000,-5.4620476,-80.312912,-66.139282,-172.11742,-66.406967,-30.504984,0.004351839,-0.18560989
305000000,-5.4989424,-80.690071,-73.921906,58.805061,-69.592934,39.582905,0.011132735,-0.28280616
306000000,-5.5146885,-81.159409,-69.763557,165.63501,-76.030464,-32.147285,0.0017433289,-0.23231874
307000000,-5.5376053,-81.565407,-66.026314,78.132179,-67.853493,-114.02805,4.6594719e-06,-0.10074572
308000000,-5.5813775,-82.048615,-73.649117,-53.015087,-68.159294,120.70559,0.0058095832,-0.25268707
309000000,-5.6055975,-82.36116,-72.336723,89.743454,-67.139877,88.246056,0.0040394384,-0.25155836
310000000,-5.6300106,-82.907394,-67.801231,157.06989,-65.308472,-12.676422,0.0021148864,-0.2564342
311000000,-5.6700044,-83.288155,-73.87912,-151.76903,-65.327301,70.178688,-0.0049014254,-0.25356439
312000000,-5.6827626,-83.783516,-67.1241,-173.91258,-67.44809,-125.14027,-0.0060234396,-0.22698341
313000000,-5.7338924,-84.166695,-67.167496,158.40762,-85.293297,159.93588,0.0024889992,-0.17454013
314000000,-5.7542577,-84.67028,-70.88575,-66.627098,-75.588135,2.403743,-0.006529205,-0.28334764
315000000,-5.7816405,-85.096626,-79.746361,35.763371,-69.457001,65.687782,-0.013059413,-0.22767185
316000000,-5.8289495,-85.503922,-80.941994,65.313324,-67.515671,-0.93530285,0.0098095322,-0.26355675
317000000,-5.8474998,-86.051361,-67.650345,-163.81424,-70.369118,-140.36537,-0.00052292802,-0.23388724
318000000,-5.8902307,-86.506897,-67.061623,-78.419838,-70.968681,135.6683,0.0026193876,-0.1981604
319000000,-5.9255981,-86.865654,-73.584435,150.00424,-66.997528,-79.436188,0.0015445999,-0.26111057
320000000,-5.958601,-87.402122,-73.302231,-32.828964,-69.913498,125.14133,-0.00026533927,-0.25050905
321000000,-5.9779253,-87.826599,-66.164719,-144.27853,-67.375671,-127.23958,0.0063896491,-0.23628196
322000000,-6.0171943,-88.321442,-72.771667,116.63623,-68.089684,149.77208,0.0070957565,-0.25618738
323000000,-6.0592589,-88.751114,-65.050888,77.143311,-70.907204,104.38836,-0.0065877959,-0.19574834
