Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Thursday, February 22, 2024 18:01:58"
frequency(Hz),e',e''
3e+008,2.66409,0.14199
3.01e+008,2.66835,0.139885
3.02e+008,2.66533,0.137369
3.03e+008,2.65743,0.135611
3.04e+008,2.65685,0.1429
3.05e+008,2.66355,0.142351
3.06e+008,2.65866,0.141837
3.07e+008,2.65783,0.146822
3.08e+008,2.65435,0.14113
3.09e+008,2.65153,0.149085
3.1e+008,2.64952,0.149736
3.11e+008,2.64949,0.151428
3.12e+008,2.6526,0.14701
3.13e+008,2.64899,0.147604
3.14e+008,2.65,0.146909
3.15e+008,2.64415,0.155056
3.16e+008,2.64642,0.152409
3.17e+008,2.64785,0.148925
3.18e+008,2.63662,0.155407
3.19e+008,2.64127,0.152497
3.2e+008,2.64381,0.151184
3.21e+008,2.63469,0.155289
3.22e+008,2.64004,0.154777
3.23e+008,2.63909,0.160715
3.24e+008,2.63701,0.151983
3.25e+008,2.63974,0.159254
3.26e+008,2.63629,0.155418
3.27e+008,2.62795,0.154704
3.28e+008,2.6314,0.167064
3.29e+008,2.62838,0.155168
3.3e+008,2.63406,0.164182
3.31e+008,2.63029,0.168023
3.32e+008,2.62683,0.171342
3.33e+008,2.63293,0.172745
3.34e+008,2.62939,0.168576
3.35e+008,2.62171,0.167003
3.36e+008,2.6237,0.169565
3.37e+008,2.62281,0.171644
3.38e+008,2.62221,0.171125
3.39e+008,2.61666,0.172715
3.4e+008,2.62224,0.173645
3.41e+008,2.61912,0.166681
3.42e+008,2.62349,0.176356
3.43e+008,2.62442,0.176111
3.44e+008,2.62175,0.177184
3.45e+008,2.62231,0.175946
3.46e+008,2.61846,0.179648
3.47e+008,2.61799,0.175097
3.48e+008,2.62247,0.179623
3.49e+008,2.6227,0.173821
3.5e+008,2.61906,0.179306
3.51e+008,2.61569,0.18015
3.52e+008,2.61878,0.177748
3.53e+008,2.6161,0.184526
3.54e+008,2.61574,0.18104
3.55e+008,2.61989,0.177679
3.56e+008,2.6204,0.182083
3.57e+008,2.62323,0.182296
3.58e+008,2.62334,0.17923
3.59e+008,2.61621,0.176058
