Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Thursday, February 22, 2024 18:05:27"
frequency(Hz),e',e''
3e+008,2.48738,0.0865628
3.01e+008,2.49173,0.0849606
3.02e+008,2.48727,0.0837555
3.03e+008,2.48513,0.0893905
3.04e+008,2.48455,0.0891899
3.05e+008,2.48474,0.0893609
3.06e+008,2.48128,0.0892732
3.07e+008,2.47723,0.092592
3.08e+008,2.4683,0.0863046
3.09e+008,2.47101,0.0956345
3.1e+008,2.47009,0.0955811
3.11e+008,2.46454,0.0949594
3.12e+008,2.46797,0.0948347
3.13e+008,2.46153,0.0970822
3.14e+008,2.46313,0.0922924
3.15e+008,2.45558,0.100446
3.16e+008,2.45852,0.0911846
3.17e+008,2.4592,0.0996434
3.18e+008,2.44288,0.109757
3.19e+008,2.45265,0.100441
3.2e+008,2.44829,0.104443
3.21e+008,2.44766,0.100929
3.22e+008,2.44588,0.101111
3.23e+008,2.44501,0.10762
3.24e+008,2.44131,0.103774
3.25e+008,2.44007,0.102378
3.26e+008,2.44234,0.102658
3.27e+008,2.43263,0.101921
3.28e+008,2.44122,0.113195
3.29e+008,2.43228,0.102032
3.3e+008,2.4285,0.105709
3.31e+008,2.4335,0.111121
3.32e+008,2.42908,0.113008
3.33e+008,2.43092,0.112801
3.34e+008,2.42489,0.115453
3.35e+008,2.41822,0.112072
3.36e+008,2.42295,0.115874
3.37e+008,2.4163,0.118944
3.38e+008,2.41637,0.113463
3.39e+008,2.41078,0.122404
3.4e+008,2.41835,0.114158
3.41e+008,2.41367,0.11259
3.42e+008,2.42462,0.115526
3.43e+008,2.41101,0.119572
3.44e+008,2.41472,0.118943
3.45e+008,2.41421,0.117993
3.46e+008,2.42211,0.118148
3.47e+008,2.416,0.11976
3.48e+008,2.40949,0.122744
3.49e+008,2.40816,0.116756
3.5e+008,2.41352,0.117993
3.51e+008,2.41176,0.117865
3.52e+008,2.41241,0.119774
3.53e+008,2.40717,0.125605
3.54e+008,2.40712,0.121463
3.55e+008,2.40949,0.123353
3.56e+008,2.41156,0.124572
3.57e+008,2.4132,0.12272
3.58e+008,2.41807,0.122893
3.59e+008,2.41345,0.123412
3.6e+008,2.41158,0.123789
3.61e+008,2.41165,0.123259
3.62e+008,2.41383,0.124989
3.63e+008,2.40733,0.118375
3.64e+008,2.41393,0.1267
3.65e+008,2.40939,0.130651
3.66e+008,2.41541,0.125333
3.67e+008,2.41436,0.124756
3.68e+008,2.41403,0.125868
3.69e+008,2.41519,0.123511
3.7e+008,2.41305,0.128173
3.71e+008,2.41158,0.12779
3.72e+008,2.41412,0.120608
3.73e+008,2.41862,0.132306
3.74e+008,2.41791,0.1286
3.75e+008,2.42296,0.121187
3.76e+008,2.42084,0.123458
3.77e+008,2.42183,0.130437
3.78e+008,2.42353,0.128535
3.79e+008,2.42261,0.120811
3.8e+008,2.42097,0.121812
3.81e+008,2.42826,0.130683
3.82e+008,2.41881,0.123378
3.83e+008,2.42786,0.123479
3.84e+008,2.42964,0.124157
3.85e+008,2.42773,0.124246
3.86e+008,2.43164,0.123159
3.87e+008,2.42737,0.123749
3.88e+008,2.42867,0.120328
3.89e+008,2.43332,0.119657
3.9e+008,2.43214,0.117879
3.91e+008,2.43151,0.123298
3.92e+008,2.43314,0.118321
3.93e+008,2.43093,0.121411
3.94e+008,2.43177,0.120884
3.95e+008,2.4318,0.122702
3.96e+008,2.43033,0.119464
3.97e+008,2.43158,0.118419
3.98e+008,2.43333,0.119298
3.99e+008,2.43641,0.11758
4e+008,2.43422,0.120295
4.01e+008,2.43536,0.11949
4.02e+008,2.43255,0.116212
4.03e+008,2.43764,0.113063
4.04e+008,2.43606,0.117192
4.05e+008,2.43375,0.119999
4.06e+008,2.4373,0.112576
4.07e+008,2.43779,0.113512
4.08e+008,2.43856,0.111038
4.09e+008,2.44075,0.114197
4.1e+008,2.43716,0.107355
4.11e+008,2.43944,0.111813
4.12e+008,2.43274,0.111235
4.13e+008,2.4397,0.110529
4.14e+008,2.43842,0.112625
4.15e+008,2.43341,0.104847
4.16e+008,2.43678,0.10696
4.17e+008,2.43875,0.107632
4.18e+008,2.4387,0.106299
4.19e+008,2.44393,0.108188
4.2e+008,2.4397,0.104169
4.21e+008,2.43918,0.109501
4.22e+008,2.44302,0.101123
4.23e+008,2.43994,0.101487
4.24e+008,2.44044,0.106677
4.25e+008,2.44471,0.0980237
4.26e+008,2.4365,0.106112
4.27e+008,2.44024,0.0987941
4.28e+008,2.44494,0.100195
4.29e+008,2.44021,0.100736
4.3e+008,2.43919,0.0982817
4.31e+008,2.44005,0.101997
4.32e+008,2.44087,0.10394
4.33e+008,2.44065,0.098811
4.34e+008,2.44309,0.098677
4.35e+008,2.44645,0.0995548
4.36e+008,2.44309,0.0982234
4.37e+008,2.44438,0.0982158
4.38e+008,2.44288,0.0974161
4.39e+008,2.44585,0.0962216
4.4e+008,2.44312,0.0921564
4.41e+008,2.44137,0.090794
4.42e+008,2.44338,0.101188
4.43e+008,2.44598,0.0934248
4.44e+008,2.44931,0.0961315
4.45e+008,2.44613,0.0931612
4.46e+008,2.44537,0.0943691
4.47e+008,2.44496,0.0935037
4.48e+008,2.44693,0.0945687
4.49e+008,2.44415,0.0892666
4.5e+008,2.44878,0.0927122
4.51e+008,2.4466,0.0917787
4.52e+008,2.44907,0.0963781
4.53e+008,2.4496,0.0926675
4.54e+008,2.44854,0.0932426
4.55e+008,2.44969,0.0955401
4.56e+008,2.45373,0.093219
4.57e+008,2.44918,0.0928195
4.58e+008,2.45382,0.0945698
4.59e+008,2.45645,0.0869629
4.6e+008,2.45754,0.0896529
