Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211751,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Saturday, July 06, 2024 18:26:53"
frequency(Hz),e',e''
3e+008,5.11297,1.30795
3.01e+008,5.11345,1.30651
3.02e+008,5.1046,1.31051
3.03e+008,5.11297,1.3195
3.04e+008,5.11558,1.31949
3.05e+008,5.12213,1.31964
3.06e+008,5.12125,1.32518
3.07e+008,5.1205,1.33246
3.08e+008,5.11595,1.34044
3.09e+008,5.1246,1.34732
3.1e+008,5.12931,1.34679
3.11e+008,5.12993,1.357
3.12e+008,5.1311,1.35991
3.13e+008,5.14581,1.3524
3.14e+008,5.15342,1.35925
3.15e+008,5.15598,1.36137
3.16e+008,5.16141,1.37278
3.17e+008,5.16427,1.37315
3.18e+008,5.15967,1.37357
3.19e+008,5.16478,1.3726
3.2e+008,5.16873,1.38033
3.21e+008,5.17579,1.38657
3.22e+008,5.17359,1.39128
3.23e+008,5.18265,1.39585
3.24e+008,5.18085,1.40464
3.25e+008,5.18145,1.41352
3.26e+008,5.18589,1.41184
3.27e+008,5.18586,1.42078
3.28e+008,5.18253,1.42223
3.29e+008,5.18918,1.42425
3.3e+008,5.19295,1.43186
3.31e+008,5.19455,1.43943
3.32e+008,5.19122,1.43881
3.33e+008,5.19157,1.44815
3.34e+008,5.19364,1.44956
3.35e+008,5.18709,1.45687
3.36e+008,5.18393,1.45945
3.37e+008,5.18775,1.46426
3.38e+008,5.18572,1.46724
3.39e+008,5.18276,1.46978
3.4e+008,5.18039,1.47325
3.41e+008,5.17627,1.47892
3.42e+008,5.17541,1.47876
3.43e+008,5.17337,1.48095
3.44e+008,5.17318,1.48273
3.45e+008,5.17537,1.48634
3.46e+008,5.16635,1.48926
3.47e+008,5.1635,1.49129
3.48e+008,5.16571,1.48933
3.49e+008,5.1546,1.49149
3.5e+008,5.15578,1.49925
3.51e+008,5.14174,1.49834
3.52e+008,5.13627,1.50495
3.53e+008,5.13291,1.50275
3.54e+008,5.12735,1.50383
3.55e+008,5.11827,1.50755
3.56e+008,5.11086,1.50989
3.57e+008,5.10286,1.51315
3.58e+008,5.09128,1.51243
3.59e+008,5.09221,1.51726
3.6e+008,5.08124,1.52131
3.61e+008,5.06682,1.51557
3.62e+008,5.05636,1.51401
3.63e+008,5.0418,1.52511
3.64e+008,5.03613,1.52618
3.65e+008,5.02144,1.52822
3.66e+008,5.01683,1.52359
3.67e+008,5.00251,1.52497
3.68e+008,4.9922,1.53015
3.69e+008,4.9845,1.52903
3.7e+008,4.9727,1.52415
3.71e+008,4.95816,1.52498
3.72e+008,4.95151,1.52844
3.73e+008,4.93933,1.53356
3.74e+008,4.93173,1.52783
3.75e+008,4.91913,1.52986
3.76e+008,4.90724,1.53052
3.77e+008,4.89782,1.52772
3.78e+008,4.88807,1.52872
3.79e+008,4.87158,1.53401
3.8e+008,4.85645,1.52738
3.81e+008,4.84453,1.53402
3.82e+008,4.82849,1.53515
3.83e+008,4.81566,1.53545
3.84e+008,4.80379,1.54358
3.85e+008,4.78527,1.54131
3.86e+008,4.77163,1.53931
3.87e+008,4.76523,1.54256
3.88e+008,4.74953,1.54158
3.89e+008,4.74004,1.54133
3.9e+008,4.72462,1.54662
3.91e+008,4.71264,1.55232
3.92e+008,4.70437,1.54764
3.93e+008,4.68497,1.5515
3.94e+008,4.67344,1.54855
3.95e+008,4.66291,1.55477
3.96e+008,4.65781,1.55078
3.97e+008,4.64646,1.54976
3.98e+008,4.63501,1.54946
3.99e+008,4.62696,1.54808
4e+008,4.62316,1.55582
4.01e+008,4.61487,1.55421
4.02e+008,4.60914,1.5583
4.03e+008,4.60078,1.55606
4.04e+008,4.59344,1.55533
4.05e+008,4.5827,1.55743
4.06e+008,4.58203,1.56166
4.07e+008,4.57437,1.56104
4.08e+008,4.57142,1.56142
4.09e+008,4.56404,1.56144
4.1e+008,4.56223,1.56047
4.11e+008,4.55898,1.56231
4.12e+008,4.54919,1.5664
4.13e+008,4.55122,1.56768
4.14e+008,4.54265,1.56656
