Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211751,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Saturday, July 06, 2024 16:24:24"
frequency(Hz),e',e''
3e+008,55.1196,35.9674
3.01e+008,55.0789,35.907
3.02e+008,55.0309,35.8446
3.03e+008,54.9923,35.7949
3.04e+008,54.9446,35.7388
3.05e+008,54.9017,35.6887
3.06e+008,54.8605,35.6383
3.07e+008,54.8197,35.6113
3.08e+008,54.7707,35.5782
3.09e+008,54.7399,35.5226
3.1e+008,54.6952,35.49
3.11e+008,54.6497,35.4616
3.12e+008,54.6034,35.4268
3.13e+008,54.5808,35.2773
3.14e+008,54.5364,35.2128
3.15e+008,54.495,35.1666
3.16e+008,54.4463,35.1197
3.17e+008,54.4069,35.0823
3.18e+008,54.3581,35.0282
3.19e+008,54.3152,35.0138
3.2e+008,54.2656,34.9687
3.21e+008,54.2286,34.9416
3.22e+008,54.1849,34.892
3.23e+008,54.133,34.8662
3.24e+008,54.0945,34.8396
3.25e+008,54.0439,34.8038
3.26e+008,53.9921,34.7829
3.27e+008,53.9515,34.7505
3.28e+008,53.9011,34.7253
3.29e+008,53.8572,34.6905
3.3e+008,53.8113,34.6608
3.31e+008,53.7524,34.648
3.32e+008,53.7088,34.6441
3.33e+008,53.6651,34.6194
3.34e+008,53.6094,34.5732
3.35e+008,53.5671,34.5426
3.36e+008,53.5157,34.5202
3.37e+008,53.4696,34.4814
3.38e+008,53.4144,34.4621
3.39e+008,53.3677,34.4527
3.4e+008,53.3214,34.4379
3.41e+008,53.2684,34.3995
3.42e+008,53.2208,34.371
3.43e+008,53.1725,34.3343
3.44e+008,53.1286,34.2913
3.45e+008,53.0834,34.2479
3.46e+008,53.0353,34.2106
3.47e+008,52.9934,34.1704
3.48e+008,52.9434,34.141
3.49e+008,52.8848,34.1318
3.5e+008,52.8371,34.1038
3.51e+008,52.7828,34.0721
3.52e+008,52.7383,34.0593
3.53e+008,52.6761,34.0414
3.54e+008,52.6366,34.0032
3.55e+008,52.587,33.983
3.56e+008,52.5424,33.9504
3.57e+008,52.4897,33.9277
3.58e+008,52.432,33.9168
3.59e+008,52.3803,33.9048
3.6e+008,52.3309,33.8911
3.61e+008,52.2771,33.8777
3.62e+008,52.2252,33.854
3.63e+008,52.1648,33.8584
3.64e+008,52.1145,33.8345
3.65e+008,52.0656,33.813
3.66e+008,52.0102,33.7964
3.67e+008,51.9574,33.7805
3.68e+008,51.9005,33.7643
3.69e+008,51.8614,33.7297
3.7e+008,51.7995,33.7048
3.71e+008,51.7492,33.6761
3.72e+008,51.7025,33.6422
3.73e+008,51.6463,33.63
3.74e+008,51.6086,33.6077
3.75e+008,51.5547,33.5861
3.76e+008,51.5118,33.5292
3.77e+008,51.4549,33.4988
3.78e+008,51.4051,33.5036
3.79e+008,51.3449,33.516
3.8e+008,51.2904,33.5052
3.81e+008,51.2258,33.5143
3.82e+008,51.1711,33.5014
3.83e+008,51.1251,33.5054
3.84e+008,51.0657,33.522
3.85e+008,51.0024,33.5237
3.86e+008,50.9522,33.4937
3.87e+008,50.9053,33.4891
3.88e+008,50.8551,33.4679
3.89e+008,50.8012,33.4556
3.9e+008,50.7492,33.4558
3.91e+008,50.6867,33.4656
3.92e+008,50.6305,33.4712
3.93e+008,50.583,33.4677
3.94e+008,50.5228,33.4749
3.95e+008,50.468,33.4734
3.96e+008,50.4218,33.4543
3.97e+008,50.3787,33.4299
3.98e+008,50.3311,33.4192
3.99e+008,50.2918,33.3868
4e+008,50.2528,33.348
4.01e+008,50.214,33.321
4.02e+008,50.1746,33.3064
4.03e+008,50.1322,33.2837
4.04e+008,50.089,33.2762
4.05e+008,50.0438,33.266
4.06e+008,50.0156,33.2344
4.07e+008,49.9804,33.2051
4.08e+008,49.9454,33.1665
4.09e+008,49.9243,33.125
4.1e+008,49.887,33.1058
4.11e+008,49.8518,33.0857
4.12e+008,49.8229,33.0806
4.13e+008,49.7915,33.047
4.14e+008,49.7612,33.0234
4.15e+008,49.7188,33.0216
4.16e+008,49.6923,33.0032
4.17e+008,49.6706,32.9694
4.18e+008,49.6753,32.9011
4.19e+008,49.6782,32.8298
4.2e+008,49.665,32.7636
4.21e+008,49.6582,32.7218
4.22e+008,49.6458,32.6875
4.23e+008,49.6374,32.643
4.24e+008,49.6342,32.5906
4.25e+008,49.6367,32.531
4.26e+008,49.6377,32.4613
4.27e+008,49.6383,32.4072
4.28e+008,49.6485,32.3363
4.29e+008,49.6371,32.2774
4.3e+008,49.6574,32.1923
4.31e+008,49.6637,32.1305
4.32e+008,49.6681,32.0463
4.33e+008,49.6698,31.9885
4.34e+008,49.6768,31.9249
