Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211751,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Saturday, July 06, 2024 17:52:51"
frequency(Hz),e',e''
3e+008,10.2503,3.06345
3.01e+008,10.2487,3.06352
3.02e+008,10.2483,3.06813
3.03e+008,10.248,3.07974
3.04e+008,10.242,3.08187
3.05e+008,10.246,3.08774
3.06e+008,10.2439,3.09443
3.07e+008,10.2336,3.10757
3.08e+008,10.233,3.11336
3.09e+008,10.2331,3.13026
3.1e+008,10.2306,3.12945
3.11e+008,10.2308,3.14022
3.12e+008,10.2217,3.14818
3.13e+008,10.2439,3.13316
3.14e+008,10.252,3.13872
3.15e+008,10.2501,3.15033
3.16e+008,10.2546,3.1542
3.17e+008,10.2502,3.16625
3.18e+008,10.253,3.16631
3.19e+008,10.2524,3.17533
3.2e+008,10.2467,3.1837
3.21e+008,10.2527,3.18809
3.22e+008,10.2512,3.19414
3.23e+008,10.2497,3.20527
3.24e+008,10.244,3.21629
3.25e+008,10.2362,3.22632
3.26e+008,10.2387,3.23255
3.27e+008,10.239,3.24192
3.28e+008,10.2314,3.25105
3.29e+008,10.2312,3.25555
3.3e+008,10.2286,3.2642
3.31e+008,10.2306,3.26748
3.32e+008,10.2148,3.28359
3.33e+008,10.2124,3.29286
3.34e+008,10.2098,3.29513
3.35e+008,10.2084,3.30587
3.36e+008,10.1972,3.30788
3.37e+008,10.2001,3.31617
3.38e+008,10.1927,3.32446
3.39e+008,10.1865,3.33308
3.4e+008,10.1762,3.3482
3.41e+008,10.1726,3.34819
3.42e+008,10.1646,3.34901
3.43e+008,10.1619,3.35776
3.44e+008,10.1622,3.35437
3.45e+008,10.156,3.36918
3.46e+008,10.1509,3.36575
3.47e+008,10.1521,3.36971
3.48e+008,10.1424,3.37855
3.49e+008,10.1283,3.38441
3.5e+008,10.1198,3.3875
3.51e+008,10.1092,3.38836
3.52e+008,10.0996,3.40131
3.53e+008,10.0944,3.40439
3.54e+008,10.0809,3.41098
3.55e+008,10.0704,3.41835
3.56e+008,10.0602,3.42012
3.57e+008,10.0436,3.42488
3.58e+008,10.0299,3.42483
3.59e+008,10.0174,3.43978
3.6e+008,10.0074,3.44587
3.61e+008,9.99304,3.45148
3.62e+008,9.97529,3.44836
3.63e+008,9.95716,3.4582
3.64e+008,9.94297,3.46619
3.65e+008,9.92714,3.47161
3.66e+008,9.91422,3.46934
3.67e+008,9.89431,3.47521
3.68e+008,9.88445,3.48414
3.69e+008,9.86747,3.4879
3.7e+008,9.85122,3.4856
3.71e+008,9.83706,3.48653
3.72e+008,9.82022,3.49096
3.73e+008,9.80742,3.49561
3.74e+008,9.79334,3.49843
3.75e+008,9.77512,3.50381
3.76e+008,9.76208,3.49926
3.77e+008,9.74832,3.50074
3.78e+008,9.72597,3.50567
3.79e+008,9.70223,3.51882
3.8e+008,9.67979,3.5143
3.81e+008,9.65987,3.52247
3.82e+008,9.63526,3.5273
3.83e+008,9.61607,3.53708
3.84e+008,9.59426,3.54784
3.85e+008,9.5715,3.55059
3.86e+008,9.55388,3.55114
3.87e+008,9.53499,3.55102
3.88e+008,9.51751,3.56157
3.89e+008,9.49934,3.55792
3.9e+008,9.4764,3.56927
3.91e+008,9.45351,3.5745
3.92e+008,9.43572,3.57806
3.93e+008,9.40931,3.5819
3.94e+008,9.38787,3.58666
3.95e+008,9.36912,3.59242
3.96e+008,9.35945,3.59527
3.97e+008,9.33751,3.59554
3.98e+008,9.32322,3.59954
3.99e+008,9.3142,3.60255
4e+008,9.30086,3.60347
4.01e+008,9.28837,3.60415
4.02e+008,9.27246,3.60645
4.03e+008,9.26157,3.61321
4.04e+008,9.24692,3.61076
4.05e+008,9.22678,3.62303
4.06e+008,9.21911,3.62005
4.07e+008,9.20752,3.62163
4.08e+008,9.20337,3.62249
4.09e+008,9.19101,3.62081
4.1e+008,9.17971,3.62525
4.11e+008,9.17564,3.62604
4.12e+008,9.16154,3.63205
4.13e+008,9.15352,3.63148
4.14e+008,9.1427,3.63635
4.15e+008,9.13373,3.64468
4.16e+008,9.11968,3.64689
4.17e+008,9.11562,3.64908
4.18e+008,9.12142,3.65005
4.19e+008,9.13246,3.64678
4.2e+008,9.13149,3.64561
4.21e+008,9.13063,3.64405
4.22e+008,9.13499,3.64673
4.23e+008,9.13304,3.6515
4.24e+008,9.1374,3.65632
4.25e+008,9.14204,3.65666
4.26e+008,9.14545,3.65435
4.27e+008,9.15512,3.65238
4.28e+008,9.16008,3.64746
4.29e+008,9.17338,3.64624
4.3e+008,9.18479,3.64351
4.31e+008,9.18835,3.64784
4.32e+008,9.20179,3.64174
4.33e+008,9.20814,3.6444
4.34e+008,9.21952,3.6385
4.35e+008,9.22546,3.64519
4.36e+008,9.23143,3.64208
4.37e+008,9.24518,3.64145
4.38e+008,9.25114,3.64743
4.39e+008,9.25993,3.64614
4.4e+008,9.26457,3.64819
4.41e+008,9.27731,3.64622
4.42e+008,9.2817,3.65257
4.43e+008,9.28509,3.65633
4.44e+008,9.28651,3.6587
4.45e+008,9.29379,3.66033
4.46e+008,9.29038,3.66677
4.47e+008,9.28664,3.67719
4.48e+008,9.29105,3.66983
4.49e+008,9.28658,3.68168
4.5e+008,9.2898,3.68793
4.51e+008,9.28942,3.69345
4.52e+008,9.28899,3.69709
4.53e+008,9.29222,3.69811
4.54e+008,9.29341,3.70752
4.55e+008,9.29775,3.70533
4.56e+008,9.30204,3.70701
4.57e+008,9.30314,3.71295
4.58e+008,9.29893,3.71532
4.59e+008,9.29713,3.71811
4.6e+008,9.29573,3.7205
4.61e+008,9.28468,3.72602
4.62e+008,9.28416,3.73095
4.63e+008,9.27768,3.74292
4.64e+008,9.27556,3.74857
4.65e+008,9.2673,3.75146
4.66e+008,9.26163,3.75436
4.67e+008,9.26298,3.75081
4.68e+008,9.26008,3.75562
4.69e+008,9.25511,3.76035
4.7e+008,9.25258,3.7558
4.71e+008,9.23901,3.75976
4.72e+008,9.22983,3.7644
4.73e+008,9.22042,3.77255
4.74e+008,9.21321,3.77571
4.75e+008,9.20361,3.77509
4.76e+008,9.193,3.77766
4.77e+008,9.18483,3.78284
4.78e+008,9.16955,3.78579
4.79e+008,9.15714,3.79135
4.8e+008,9.14377,3.7928
4.81e+008,9.13279,3.79649
4.82e+008,9.13307,3.79082
4.83e+008,9.1161,3.78998
4.84e+008,9.09787,3.79556
4.85e+008,9.08621,3.79708
4.86e+008,9.07443,3.79201
4.87e+008,9.06187,3.79346
4.88e+008,9.05116,3.7919
4.89e+008,9.03526,3.79252
4.9e+008,9.01961,3.7988
4.91e+008,9.00509,3.79796
4.92e+008,8.98912,3.796
4.93e+008,8.97213,3.79574
4.94e+008,8.96205,3.79651
4.95e+008,8.94093,3.79657
4.96e+008,8.923,3.80089
4.97e+008,8.90834,3.80293
4.98e+008,8.88738,3.80492
4.99e+008,8.87092,3.80266
5e+008,8.85146,3.80195

