Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211751,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Saturday, July 06, 2024 16:56:44"
frequency(Hz),e',e''
3e+008,17.3104,12.6392
3.01e+008,17.3133,12.6207
3.02e+008,17.2978,12.607
3.03e+008,17.2931,12.5955
3.04e+008,17.2877,12.5846
3.05e+008,17.2815,12.5715
3.06e+008,17.26,12.5601
3.07e+008,17.2486,12.5584
3.08e+008,17.2379,12.5502
3.09e+008,17.2257,12.5448
3.1e+008,17.2146,12.5317
3.11e+008,17.1905,12.5366
3.12e+008,17.1743,12.5221
3.13e+008,17.2129,12.4883
3.14e+008,17.2095,12.4703
3.15e+008,17.1983,12.4626
3.16e+008,17.1927,12.4551
3.17e+008,17.1809,12.4501
3.18e+008,17.1703,12.44
3.19e+008,17.1471,12.4382
3.2e+008,17.1326,12.4331
3.21e+008,17.1183,12.4296
3.22e+008,17.1027,12.4153
3.23e+008,17.0922,12.4133
3.24e+008,17.0683,12.4043
3.25e+008,17.0521,12.4097
3.26e+008,17.0292,12.402
3.27e+008,17.0127,12.3981
3.28e+008,16.995,12.395
3.29e+008,16.9755,12.3856
3.3e+008,16.9553,12.3838
3.31e+008,16.9276,12.3804
3.32e+008,16.8995,12.3842
3.33e+008,16.8781,12.3786
3.34e+008,16.8595,12.3703
3.35e+008,16.8411,12.3663
3.36e+008,16.8129,12.3592
3.37e+008,16.7899,12.3537
3.38e+008,16.7725,12.3515
3.39e+008,16.7441,12.3503
3.4e+008,16.7191,12.3528
3.41e+008,16.697,12.343
3.42e+008,16.6709,12.339
3.43e+008,16.653,12.336
3.44e+008,16.6372,12.3204
3.45e+008,16.6247,12.3122
3.46e+008,16.6056,12.3017
3.47e+008,16.5834,12.291
3.48e+008,16.5591,12.2891
3.49e+008,16.5291,12.2898
3.5e+008,16.5016,12.2796
3.51e+008,16.4745,12.2712
3.52e+008,16.4477,12.2711
3.53e+008,16.4215,12.2602
3.54e+008,16.3992,12.2568
3.55e+008,16.3725,12.2486
3.56e+008,16.3495,12.2395
3.57e+008,16.3147,12.2342
3.58e+008,16.28,12.2286
3.59e+008,16.2558,12.2305
3.6e+008,16.2229,12.2202
3.61e+008,16.1903,12.2161
3.62e+008,16.164,12.209
3.63e+008,16.1228,12.2113
3.64e+008,16.0939,12.2056
3.65e+008,16.0685,12.1995
3.66e+008,16.037,12.1871
3.67e+008,16.0023,12.1848
3.68e+008,15.9771,12.1712
3.69e+008,15.9569,12.1641
3.7e+008,15.9219,12.1486
3.71e+008,15.8973,12.1432
3.72e+008,15.8832,12.1342
3.73e+008,15.8459,12.1256
