Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Tuesday, February 27, 2024 19:01:00"
frequency(Hz),e',e''
3e+008,3.63715,0.322867
3.01e+008,3.63062,0.318462
3.02e+008,3.63706,0.317239
3.03e+008,3.62916,0.320642
3.04e+008,3.62912,0.319384
3.05e+008,3.6408,0.327202
3.06e+008,3.63029,0.328599
3.07e+008,3.6316,0.328316
3.08e+008,3.63121,0.325238
3.09e+008,3.63298,0.325333
3.1e+008,3.6291,0.320354
3.11e+008,3.62675,0.325704
3.12e+008,3.62677,0.326753
3.13e+008,3.62469,0.327175
3.14e+008,3.62424,0.322836
3.15e+008,3.62394,0.326431
3.16e+008,3.62387,0.329367
3.17e+008,3.62473,0.322791
3.18e+008,3.619,0.326673
3.19e+008,3.62043,0.31875
3.2e+008,3.61963,0.320516
3.21e+008,3.61888,0.319014
3.22e+008,3.62289,0.322477
3.23e+008,3.61622,0.327196
3.24e+008,3.61358,0.326656
3.25e+008,3.60539,0.322604
3.26e+008,3.61179,0.322915
3.27e+008,3.60425,0.322331
3.28e+008,3.60233,0.32211
3.29e+008,3.60652,0.320807
3.3e+008,3.59591,0.325342
3.31e+008,3.59911,0.326641
3.32e+008,3.5996,0.32492
3.33e+008,3.5949,0.324334
3.34e+008,3.59687,0.321993
3.35e+008,3.5948,0.323958
3.36e+008,3.59744,0.319429
3.37e+008,3.59678,0.318954
3.38e+008,3.58764,0.320854
3.39e+008,3.58389,0.323407
3.4e+008,3.58272,0.315455
3.41e+008,3.58736,0.319708
3.42e+008,3.58107,0.320823
3.43e+008,3.58321,0.319321
3.44e+008,3.58036,0.318939
3.45e+008,3.58444,0.316185
3.46e+008,3.57263,0.322858
3.47e+008,3.57497,0.325222
3.48e+008,3.5791,0.315005
3.49e+008,3.58035,0.318228
3.5e+008,3.5698,0.318161
3.51e+008,3.57119,0.320316
3.52e+008,3.56596,0.3209
3.53e+008,3.56667,0.321053
3.54e+008,3.56569,0.319202
3.55e+008,3.56361,0.321727
3.56e+008,3.56228,0.317836
3.57e+008,3.55961,0.319355
3.58e+008,3.55958,0.318637
3.59e+008,3.5599,0.315866
3.6e+008,3.55897,0.315231
3.61e+008,3.55569,0.318075
3.62e+008,3.54755,0.310593
3.63e+008,3.55526,0.321994
3.64e+008,3.55344,0.318369
3.65e+008,3.54941,0.31361
3.66e+008,3.55117,0.313568
3.67e+008,3.55092,0.318717
3.68e+008,3.54964,0.318577
3.69e+008,3.55381,0.316826
3.7e+008,3.5514,0.313085
3.71e+008,3.54516,0.315639
3.72e+008,3.54689,0.311492
3.73e+008,3.5522,0.316059
3.74e+008,3.55425,0.314455
3.75e+008,3.55143,0.312473
3.76e+008,3.55258,0.30804
3.77e+008,3.54774,0.31321
3.78e+008,3.54658,0.314865
3.79e+008,3.54958,0.314482
3.8e+008,3.5482,0.311549
3.81e+008,3.55066,0.312609
3.82e+008,3.55214,0.310676
3.83e+008,3.55378,0.314844
3.84e+008,3.5566,0.310549
3.85e+008,3.55479,0.311629
3.86e+008,3.55375,0.314846
3.87e+008,3.55226,0.313241
3.88e+008,3.55168,0.309051
3.89e+008,3.55528,0.310465
3.9e+008,3.55586,0.315689
3.91e+008,3.55553,0.309012
3.92e+008,3.55866,0.314255
3.93e+008,3.55964,0.311462
3.94e+008,3.55804,0.316963
3.95e+008,3.56156,0.310268
3.96e+008,3.56183,0.313335
3.97e+008,3.56081,0.312326
3.98e+008,3.56385,0.311111
3.99e+008,3.57204,0.313125
4e+008,3.57234,0.309494
4.01e+008,3.5684,0.316019
4.02e+008,3.57305,0.314394
4.03e+008,3.57325,0.312155
4.04e+008,3.57475,0.310549
4.05e+008,3.57993,0.317781
4.06e+008,3.57993,0.310789
4.07e+008,3.58087,0.312511
4.08e+008,3.58303,0.316876
4.09e+008,3.58306,0.312738
4.1e+008,3.58612,0.313193
4.11e+008,3.58848,0.309142
4.12e+008,3.58911,0.315315
4.13e+008,3.58834,0.315649
4.14e+008,3.59536,0.306806
4.15e+008,3.59163,0.315771
4.16e+008,3.59542,0.312826
4.17e+008,3.5935,0.307631
4.18e+008,3.59876,0.312871
4.19e+008,3.60192,0.311071
4.2e+008,3.59758,0.309595
4.21e+008,3.60339,0.316484
4.22e+008,3.60204,0.314167
4.23e+008,3.60435,0.309038
4.24e+008,3.60359,0.310744
4.25e+008,3.60762,0.314452
4.26e+008,3.60721,0.317258
4.27e+008,3.60688,0.312219
4.28e+008,3.60665,0.315733
4.29e+008,3.61072,0.315087
4.3e+008,3.60705,0.309747
4.31e+008,3.60702,0.3151
4.32e+008,3.61319,0.314746
4.33e+008,3.61268,0.312478
4.34e+008,3.61057,0.315224
4.35e+008,3.61318,0.313648
4.36e+008,3.60781,0.312808
4.37e+008,3.61054,0.311916
4.38e+008,3.61287,0.311587
4.39e+008,3.6139,0.319073
4.4e+008,3.60779,0.311518
4.41e+008,3.61405,0.312292
4.42e+008,3.60853,0.308845
4.43e+008,3.60679,0.316241
4.44e+008,3.61185,0.313837
4.45e+008,3.6094,0.310368
4.46e+008,3.61007,0.309009
4.47e+008,3.60373,0.310249
4.48e+008,3.60613,0.310055
4.49e+008,3.6038,0.31388
4.5e+008,3.60325,0.310727
4.51e+008,3.60527,0.31222
4.52e+008,3.60229,0.309101
4.53e+008,3.60001,0.311456
4.54e+008,3.5992,0.308244
4.55e+008,3.59552,0.30968
4.56e+008,3.59671,0.315048
4.57e+008,3.59204,0.311056
4.58e+008,3.59046,0.309134
4.59e+008,3.58886,0.310652
4.6e+008,3.5879,0.311284
4.61e+008,3.5871,0.309068
4.62e+008,3.58377,0.3126
4.63e+008,3.58308,0.308858
4.64e+008,3.58341,0.312525
4.65e+008,3.58039,0.305597
4.66e+008,3.57913,0.305513
4.67e+008,3.57342,0.307499
4.68e+008,3.57594,0.307695
4.69e+008,3.56984,0.309415
4.7e+008,3.57064,0.308258
4.71e+008,3.56438,0.308969
4.72e+008,3.56654,0.311288
4.73e+008,3.5638,0.308821
4.74e+008,3.56096,0.309328
4.75e+008,3.56083,0.310291
4.76e+008,3.5594,0.307944
4.77e+008,3.55524,0.313271
4.78e+008,3.54936,0.306707
4.79e+008,3.55261,0.30895
4.8e+008,3.55121,0.306371
4.81e+008,3.54794,0.307894
4.82e+008,3.54799,0.304906
4.83e+008,3.53853,0.30681
4.84e+008,3.5402,0.304805
4.85e+008,3.53878,0.306972
4.86e+008,3.5411,0.305495
4.87e+008,3.5359,0.306911
4.88e+008,3.53327,0.30177
4.89e+008,3.53538,0.305353
4.9e+008,3.5317,0.306081
4.91e+008,3.53124,0.306994
4.92e+008,3.53204,0.305818
4.93e+008,3.52577,0.309193
4.94e+008,3.52654,0.308438
4.95e+008,3.52556,0.307104
4.96e+008,3.52677,0.303894
4.97e+008,3.52482,0.309908
4.98e+008,3.51903,0.306851
4.99e+008,3.52529,0.306371
5e+008,3.5213,0.307546

