Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Tuesday, February 27, 2024 18:24:20"
frequency(Hz),e',e''
3e+008,20.7999,9.43819
3.01e+008,20.7919,9.41843
3.02e+008,20.7847,9.40215
3.03e+008,20.7736,9.3938
3.04e+008,20.7717,9.36831
3.05e+008,20.7612,9.35802
3.06e+008,20.7536,9.34215
3.07e+008,20.738,9.31502
3.08e+008,20.7401,9.30363
3.09e+008,20.7229,9.28146
3.1e+008,20.7139,9.26338
3.11e+008,20.7027,9.24498
3.12e+008,20.6878,9.23498
3.13e+008,20.683,9.20641
3.14e+008,20.6688,9.19349
3.15e+008,20.6562,9.18414
3.16e+008,20.6502,9.1593
3.17e+008,20.636,9.14148
3.18e+008,20.6218,9.12565
3.19e+008,20.6152,9.11203
3.2e+008,20.5997,9.08921
3.21e+008,20.5935,9.06956
3.22e+008,20.5827,9.05256
3.23e+008,20.5688,9.0374
3.24e+008,20.5603,9.02392
3.25e+008,20.5534,9.0121
3.26e+008,20.5477,8.99136
3.27e+008,20.5382,8.97643
3.28e+008,20.5362,8.96265
3.29e+008,20.5248,8.94812
3.3e+008,20.5114,8.93273
3.31e+008,20.5057,8.91795
3.32e+008,20.4934,8.90007
3.33e+008,20.4811,8.88441
3.34e+008,20.4714,8.86376
3.35e+008,20.4599,8.84873
3.36e+008,20.4477,8.8252
3.37e+008,20.4407,8.81584
3.38e+008,20.4222,8.79389
3.39e+008,20.4077,8.78167
3.4e+008,20.4003,8.76798
3.41e+008,20.3946,8.75401
3.42e+008,20.3867,8.73917
3.43e+008,20.3792,8.72306
3.44e+008,20.3688,8.70999
3.45e+008,20.3582,8.69116
3.46e+008,20.346,8.68663
3.47e+008,20.3489,8.66909
3.48e+008,20.3427,8.65273
3.49e+008,20.3392,8.63812
3.5e+008,20.3229,8.61988
3.51e+008,20.3119,8.61338
3.52e+008,20.3084,8.59578
3.53e+008,20.3012,8.58112
3.54e+008,20.2857,8.56688
3.55e+008,20.2744,8.55877
3.56e+008,20.2675,8.54
3.57e+008,20.2585,8.51972
3.58e+008,20.2422,8.50495
3.59e+008,20.235,8.48661
3.6e+008,20.2297,8.47536
3.61e+008,20.2192,8.46419
3.62e+008,20.2075,8.44668
3.63e+008,20.2001,8.43425
3.64e+008,20.1954,8.42423
3.65e+008,20.1843,8.41462
3.66e+008,20.1854,8.39397
3.67e+008,20.1765,8.38552
3.68e+008,20.1719,8.3776
3.69e+008,20.1664,8.36085
3.7e+008,20.1635,8.34785
3.71e+008,20.158,8.33419
3.72e+008,20.1441,8.32108
3.73e+008,20.1402,8.31072
3.74e+008,20.1332,8.29181
3.75e+008,20.1216,8.27912
3.76e+008,20.1188,8.26921
3.77e+008,20.1043,8.25511
3.78e+008,20.0963,8.24008
3.79e+008,20.0895,8.22799
3.8e+008,20.0833,8.21367
3.81e+008,20.0806,8.20064
3.82e+008,20.0697,8.18872
3.83e+008,20.0678,8.17732
3.84e+008,20.0649,8.16563
3.85e+008,20.0586,8.15462
3.86e+008,20.0555,8.14389
3.87e+008,20.0504,8.13694
3.88e+008,20.0476,8.12216
3.89e+008,20.0422,8.11417
3.9e+008,20.0419,8.10693
3.91e+008,20.0393,8.09454
3.92e+008,20.0281,8.08248
3.93e+008,20.0256,8.06518
3.94e+008,20.0166,8.0593
3.95e+008,20.0118,8.04162
3.96e+008,20.002,8.02923
3.97e+008,19.9966,8.01799
3.98e+008,19.9805,8.00188
3.99e+008,19.9799,7.99365
4e+008,19.9762,7.97752
4.01e+008,19.9687,7.97184
4.02e+008,19.9677,7.96014
4.03e+008,19.9607,7.94479
4.04e+008,19.9616,7.93745
4.05e+008,19.9589,7.93521
4.06e+008,19.9545,7.92016
4.07e+008,19.9533,7.91122
4.08e+008,19.9502,7.90039
4.09e+008,19.9511,7.89444
4.1e+008,19.9437,7.88405
4.11e+008,19.9425,7.87002
4.12e+008,19.9355,7.8622
4.13e+008,19.9246,7.84889
4.14e+008,19.9191,7.83545
4.15e+008,19.9094,7.83143
4.16e+008,19.9069,7.81838
4.17e+008,19.8939,7.80323
4.18e+008,19.8955,7.78986
4.19e+008,19.8853,7.78204
4.2e+008,19.8796,7.76822
4.21e+008,19.8804,7.76454
4.22e+008,19.8744,7.75208
