Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Thursday, February 22, 2024 18:52:15"
frequency(Hz),e',e''
3e+008,11.6303,2.43796
3.01e+008,11.6316,2.43537
3.02e+008,11.6249,2.42929
3.03e+008,11.613,2.43304
3.04e+008,11.6115,2.42742
3.05e+008,11.6057,2.42705
3.06e+008,11.6,2.42847
3.07e+008,11.5961,2.42068
3.08e+008,11.5801,2.41258
3.09e+008,11.5789,2.42319
3.1e+008,11.5791,2.42215
3.11e+008,11.5685,2.41859
3.12e+008,11.5611,2.41472
3.13e+008,11.5489,2.41447
3.14e+008,11.5486,2.41201
3.15e+008,11.539,2.41572
3.16e+008,11.5336,2.40162
3.17e+008,11.53,2.39713
3.18e+008,11.5171,2.40541
3.19e+008,11.5184,2.39971
3.2e+008,11.5145,2.40297
3.21e+008,11.5096,2.39774
3.22e+008,11.4997,2.39659
3.23e+008,11.4996,2.39948
3.24e+008,11.4884,2.38408
3.25e+008,11.4893,2.38958
3.26e+008,11.4795,2.38764
3.27e+008,11.4746,2.38963
3.28e+008,11.4755,2.39196
3.29e+008,11.4678,2.37666
3.3e+008,11.463,2.38311
3.31e+008,11.4622,2.38488
3.32e+008,11.4498,2.38465
3.33e+008,11.4526,2.37536
3.34e+008,11.4404,2.3797
3.35e+008,11.44,2.37527
3.36e+008,11.433,2.38099
3.37e+008,11.4304,2.37369
3.38e+008,11.4309,2.3723
3.39e+008,11.4166,2.36781
3.4e+008,11.4175,2.3644
3.41e+008,11.4103,2.3666
3.42e+008,11.417,2.36439
3.43e+008,11.4101,2.36537
3.44e+008,11.3988,2.36293
3.45e+008,11.4007,2.35765
3.46e+008,11.4033,2.35813
3.47e+008,11.396,2.35105
3.48e+008,11.3911,2.35023
3.49e+008,11.3846,2.34729
3.5e+008,11.3804,2.35274
3.51e+008,11.3809,2.34342
3.52e+008,11.3826,2.34279
3.53e+008,11.3762,2.34387
3.54e+008,11.3664,2.34547
3.55e+008,11.3741,2.34027
3.56e+008,11.3652,2.3396
3.57e+008,11.3649,2.34106
3.58e+008,11.3684,2.33418
3.59e+008,11.3554,2.32963
3.6e+008,11.3576,2.32823
3.61e+008,11.3579,2.33182
3.62e+008,11.3517,2.32396
3.63e+008,11.3518,2.32148
3.64e+008,11.355,2.3198
3.65e+008,11.348,2.32375
3.66e+008,11.3479,2.31501
3.67e+008,11.3449,2.31893
3.68e+008,11.3403,2.31859
3.69e+008,11.3407,2.31404
3.7e+008,11.3338,2.31083
3.71e+008,11.3306,2.3051
3.72e+008,11.3328,2.30494
3.73e+008,11.3298,2.31351
3.74e+008,11.3321,2.30348
3.75e+008,11.3315,2.29786
3.76e+008,11.3246,2.2986
3.77e+008,11.3241,2.29868
3.78e+008,11.3212,2.29422
3.79e+008,11.3234,2.28784
3.8e+008,11.319,2.29385
3.81e+008,11.32,2.29185
3.82e+008,11.315,2.28825
3.83e+008,11.3142,2.28203
3.84e+008,11.3153,2.28087
3.85e+008,11.3122,2.28051
3.86e+008,11.3102,2.2783
3.87e+008,11.3104,2.27389
3.88e+008,11.3098,2.27358
3.89e+008,11.3066,2.27057
3.9e+008,11.3017,2.27111
3.91e+008,11.3026,2.26933
