Coaxial Probe Method (Opt. 004) 20.0.22083101
Keysight Technologies,P9371A,MY57211749,A.17.25.05

Ch 1
Port:, 1
Probe:, High temperature
Std1:, Air
Std2:, Short
Std3:, 25.0C water
IFBW:, 300.000000 Hz
Power:, -5.000000 dBm
Date:,"Thursday, February 22, 2024 17:22:13"
frequency(Hz),e',e''
3e+008,32.5739,19.2715
3.01e+008,32.5628,19.2259
3.02e+008,32.5531,19.1802
3.03e+008,32.5344,19.1325
3.04e+008,32.5182,19.0979
3.05e+008,32.5088,19.0544
3.06e+008,32.4964,19.013
3.07e+008,32.4811,18.9662
3.08e+008,32.457,18.9245
3.09e+008,32.4543,18.8869
3.1e+008,32.4414,18.8408
3.11e+008,32.4242,18.8023
3.12e+008,32.4128,18.761
3.13e+008,32.3971,18.7257
3.14e+008,32.38,18.6757
3.15e+008,32.3779,18.6444
3.16e+008,32.3526,18.6036
3.17e+008,32.3511,18.5519
3.18e+008,32.3282,18.5281
3.19e+008,32.3183,18.4794
3.2e+008,32.31,18.4396
3.21e+008,32.2911,18.3988
3.22e+008,32.2783,18.3672
3.23e+008,32.2686,18.3285
3.24e+008,32.2518,18.2827
3.25e+008,32.2418,18.2528
3.26e+008,32.2301,18.218
3.27e+008,32.2138,18.1712
3.28e+008,32.2062,18.1393
3.29e+008,32.1838,18.0994
3.3e+008,32.1761,18.0634
3.31e+008,32.1603,18.0267
3.32e+008,32.1461,17.9942
3.33e+008,32.1335,17.953
3.34e+008,32.1225,17.9165
3.35e+008,32.1057,17.8876
3.36e+008,32.0965,17.8521
3.37e+008,32.08,17.8131
3.38e+008,32.0705,17.7765
3.39e+008,32.0572,17.7488
3.4e+008,32.0447,17.7079
3.41e+008,32.0302,17.6646
3.42e+008,32.0241,17.6425
3.43e+008,32.0063,17.6114
3.44e+008,31.9873,17.5762
3.45e+008,31.9768,17.5333
3.46e+008,31.9672,17.5028
3.47e+008,31.9566,17.4659
3.48e+008,31.9404,17.4406
3.49e+008,31.9272,17.4022
3.5e+008,31.9126,17.3686
3.51e+008,31.901,17.3378
3.52e+008,31.8871,17.3019
3.53e+008,31.8779,17.2714
3.54e+008,31.8603,17.2437
3.55e+008,31.8522,17.2062
3.56e+008,31.8319,17.1828
3.57e+008,31.8155,17.1492
3.58e+008,31.811,17.113
3.59e+008,31.7929,17.0828
3.6e+008,31.7874,17.0577
3.61e+008,31.7703,17.0222
3.62e+008,31.7621,16.9905
3.63e+008,31.7489,16.957
3.64e+008,31.7359,16.9324
3.65e+008,31.7197,16.8986
3.66e+008,31.7128,16.8719
3.67e+008,31.6948,16.8429
3.68e+008,31.6839,16.8125
3.69e+008,31.6715,16.7829
3.7e+008,31.6531,16.7547
3.71e+008,31.6395,16.7239
3.72e+008,31.6314,16.6952
3.73e+008,31.6232,16.6684
3.74e+008,31.6056,16.6344
3.75e+008,31.5994,16.608
3.76e+008,31.5843,16.5793
3.77e+008,31.5732,16.5496
3.78e+008,31.5592,16.5219
3.79e+008,31.5459,16.4897
3.8e+008,31.533,16.4612
3.81e+008,31.5263,16.4377
3.82e+008,31.5088,16.4152
3.83e+008,31.5,16.3836
3.84e+008,31.4876,16.3534
3.85e+008,31.4758,16.3287
3.86e+008,31.4666,16.3023
3.87e+008,31.4506,16.2738
3.88e+008,31.443,16.2435
3.89e+008,31.4302,16.2184
3.9e+008,31.4164,16.1941
3.91e+008,31.4032,16.167
3.92e+008,31.397,16.139
3.93e+008,31.3855,16.1178
3.94e+008,31.3728,16.0925
3.95e+008,31.3605,16.063
3.96e+008,31.3497,16.0395
3.97e+008,31.3371,16.0129
3.98e+008,31.3314,15.9908
3.99e+008,31.3138,15.9622
4e+008,31.307,15.9364
4.01e+008,31.2961,15.9143
4.02e+008,31.2847,15.8863
4.03e+008,31.276,15.8612
4.04e+008,31.2669,15.8355
4.05e+008,31.248,15.8183
4.06e+008,31.2399,15.7881
4.07e+008,31.2336,15.7618
4.08e+008,31.2258,15.7382
4.09e+008,31.2122,15.7207
4.1e+008,31.201,15.6904
4.11e+008,31.1995,15.6695
4.12e+008,31.1858,15.6462
4.13e+008,31.173,15.6243
4.14e+008,31.1689,15.5952
4.15e+008,31.153,15.5775
4.16e+008,31.1502,15.5516
4.17e+008,31.136,15.5344
4.18e+008,31.1246,15.5081
4.19e+008,31.122,15.4809
4.2e+008,31.1107,15.4634
4.21e+008,31.0988,15.4414
4.22e+008,31.0937,15.414
4.23e+008,31.0806,15.3958
4.24e+008,31.076,15.3737
4.25e+008,31.0668,15.3462
4.26e+008,31.0591,15.3283
4.27e+008,31.0531,15.3041
4.28e+008,31.0431,15.2892
4.29e+008,31.0335,15.2649
4.3e+008,31.0218,15.2409
4.31e+008,31.0169,15.2244
4.32e+008,31.0082,15.1993
4.33e+008,30.9972,15.1815
4.34e+008,30.9945,15.1527
4.35e+008,30.9857,15.1388
4.36e+008,30.984,15.117
4.37e+008,30.9696,15.0946
4.38e+008,30.966,15.0774
4.39e+008,30.959,15.0521
4.4e+008,30.9465,15.033
4.41e+008,30.938,15.0134
4.42e+008,30.9373,14.9935
4.43e+008,30.9288,14.9718
4.44e+008,30.922,14.9512
4.45e+008,30.9139,14.928
4.46e+008,30.9073,14.9067
4.47e+008,30.8984,14.8928
4.48e+008,30.8913,14.8787
4.49e+008,30.8868,14.8551
4.5e+008,30.8832,14.8341
4.51e+008,30.8726,14.8141
4.52e+008,30.8725,14.7959
4.53e+008,30.8608,14.7767
4.54e+008,30.8558,14.7579
4.55e+008,30.851,14.7378
4.56e+008,30.8442,14.7169
4.57e+008,30.8327,14.6984
4.58e+008,30.8326,14.6854
4.59e+008,30.8238,14.6625
4.6e+008,30.8187,14.6435
4.61e+008,30.812,14.6239
4.62e+008,30.8107,14.6079
4.63e+008,30.8033,14.5893
4.64e+008,30.796,14.5706
4.65e+008,30.7894,14.5492
4.66e+008,30.7857,14.5329
4.67e+008,30.7795,14.513
4.68e+008,30.7756,14.4995
4.69e+008,30.7702,14.4782
4.7e+008,30.7625,14.4642
4.71e+008,30.7583,14.4381
4.72e+008,30.7524,14.425
4.73e+008,30.749,14.4058
4.74e+008,30.7427,14.3895
4.75e+008,30.7331,14.3733
4.76e+008,30.7289,14.3524
4.77e+008,30.7236,14.3376
4.78e+008,30.7213,14.317
4.79e+008,30.7132,14.2983
4.8e+008,30.7037,14.2861
4.81e+008,30.7024,14.2664
4.82e+008,30.7002,14.2466
4.83e+008,30.6938,14.2269
4.84e+008,30.6845,14.2166
4.85e+008,30.6793,14.197
4.86e+008,30.6741,14.1799
4.87e+008,30.6711,14.162
4.88e+008,30.6655,14.1438
4.89e+008,30.6609,14.1277
4.9e+008,30.6522,14.1101
4.91e+008,30.6491,14.0952
4.92e+008,30.6406,14.0778
4.93e+008,30.6379,14.0629
4.94e+008,30.6321,14.0429
4.95e+008,30.6267,14.0288
4.96e+008,30.6182,14.0105
4.97e+008,30.6143,13.9927
